Date,Cases,Deaths
29/02/2020,1,0
03/03/2020,1,0
04/03/2020,4,0
05/03/2020,7,0
06/03/2020,5,0
07/03/2020,1,0
08/03/2020,2,0
09/03/2020,3,0
10/03/2020,10,0
11/03/2020,9,1
12/03/2020,27,0
13/03/2020,20,0
14/03/2020,39,1
15/03/2020,40,0
16/03/2020,54,0
17/03/2020,69,0
18/03/2020,74,0
19/03/2020,191,1
20/03/2020,126,0
21/03/2020,102,0
22/03/2020,121,1
23/03/2020,219,2
24/03/2020,204,1
25/03/2020,235,2
26/03/2020,255,10
27/03/2020,302,3
28/03/2020,294,14
29/03/2020,200,10
30/03/2020,295,8
31/03/2020,325,17
01/04/2020,212,14
02/04/2020,402,13
03/04/2020,424,22
04/04/2020,331,17
05/04/2020,390,21
06/04/2020,370,16
07/04/2020,345,36
08/04/2020,365,25
09/04/2020,500,28
10/04/2020,480,25
11/04/2020,553,33
12/04/2020,430,14
13/04/2020,527,31
14/04/2020,548,41
15/04/2020,657,38
16/04/2020,629,43
17/04/2020,597,44
18/04/2020,630,41
19/04/2020,445,39
20/04/2020,401,77
21/04/2020,388,44
22/04/2020,631,49
23/04/2020,936,28
24/04/2020,577,37
25/04/2020,377,42
26/04/2020,701,26
27/04/2020,386,18
28/04/2020,229,59
29/04/2020,376,31
30/04/2020,359,43
01/05/2020,221,34
02/05/2020,343,25
03/05/2020,330,19
04/05/2020,266,16
05/05/2020,211,23
06/05/2020,265,37
07/05/2020,137,29
08/05/2020,156,27
09/05/2020,219,18
10/05/2020,236,12
11/05/2020,139,15
12/05/2020,107,24
13/05/2020,159,10
14/05/2020,426,10
15/05/2020,129,16
16/05/2020,92,15
17/05/2020,64,10
18/05/2020,88,4
19/05/2020,51,16
20/05/2020,64,11
21/05/2020,76,12
22/05/2020,115,11
23/05/2020,76,13
24/05/2020,57,4
25/05/2020,59,0
26/05/2020,37,9
27/05/2020,73,17
28/05/2020,46,9
29/05/2020,39,6
30/05/2020,59,9
31/05/2020,66,2
01/06/2020,77,1
02/06/2020,10,8
03/06/2020,47,3
04/06/2020,38,5
05/06/2020,28,7
06/06/2020,24,9
07/06/2020,25,1
08/06/2020,9,4
09/06/2020,9,9
10/06/2020,19,5
11/06/2020,8,8
12/06/2020,13,3
13/06/2020,46,5
14/06/2020,8,1
15/06/2020,18,0
16/06/2020,14,3
17/06/2020,8,3
18/06/2020,16,4
19/06/2020,13,2
20/06/2020,22,2
21/06/2020,6,0
22/06/2020,4,2
23/06/2020,10,3
24/06/2020,5,6
25/06/2020,11,1
26/06/2020,11,3
27/06/2020,23,6
28/06/2020,1,1
29/06/2020,24,0
30/06/2020,11,1
01/07/2020,6,3
02/07/2020,15,5
03/07/2020,9,2
04/07/2020,11,1
05/07/2020,18,0
06/07/2020,4,0
07/07/2020,24,1
08/07/2020,11,0
09/07/2020,23,6
10/07/2020,25,1
11/07/2020,23,2
12/07/2020,17,0
13/07/2020,11,0
14/07/2020,32,0
15/07/2020,14,2
16/07/2020,21,1
17/07/2020,34,3
18/07/2020,21,2
19/07/2020,10,0
20/07/2020,6,0
21/07/2020,36,0
22/07/2020,17,1
23/07/2020,7,9
24/07/2020,20,0
25/07/2020,24,1
26/07/2020,12,0
27/07/2020,11,0
28/07/2020,40,0
29/07/2020,14,0
30/07/2020,85,1
31/07/2020,38,0
01/08/2020,45,0
02/08/2020,53,0
03/08/2020,46,0
04/08/2020,45,0
05/08/2020,50,0
06/08/2020,69,5
07/08/2020,98,4
08/08/2020,174,1
09/08/2020,68,0
10/08/2020,57,0
11/08/2020,35,1
12/08/2020,40,1
13/08/2020,92,0