Date,TotalCases
29/02/2020,1
03/03/2020,2
04/03/2020,6
05/03/2020,13
06/03/2020,18
07/03/2020,19
08/03/2020,21
09/03/2020,24
10/03/2020,34
11/03/2020,43
12/03/2020,70
13/03/2020,90
14/03/2020,129
15/03/2020,169
16/03/2020,223
17/03/2020,292
18/03/2020,366
19/03/2020,557
20/03/2020,683
21/03/2020,785
22/03/2020,906
23/03/2020,1125
24/03/2020,1329
25/03/2020,1564
26/03/2020,1819
27/03/2020,2121
28/03/2020,2415
29/03/2020,2615
30/03/2020,2910
31/03/2020,3235
01/04/2020,3447
02/04/2020,3849
03/04/2020,4273
04/04/2020,4604
05/04/2020,4994
06/04/2020,5364
07/04/2020,5709
08/04/2020,6074
09/04/2020,6574
10/04/2020,7054
11/04/2020,8928
12/04/2020,9655
13/04/2020,10647
14/04/2020,11479
15/04/2020,12547
16/04/2020,13271
17/04/2020,13980
18/04/2020,14758
19/04/2020,15251
20/04/2020,15652
21/04/2020,16040
22/04/2020,16671
23/04/2020,17607
24/04/2020,18184
25/04/2020,18561
26/04/2020,19262
27/04/2020,19648
28/04/2020,19877
29/04/2020,20253
30/04/2020,20612
01/05/2020,20833
02/05/2020,21176
03/05/2020,21506
04/05/2020,21772
05/05/2020,21983
06/05/2020,22248
07/05/2020,22385
08/05/2020,22541
09/05/2020,22760
10/05/2020,22996
11/05/2020,23135
12/05/2020,23242
13/05/2020,23401
14/05/2020,23827
15/05/2020,23956
16/05/2020,24048
17/05/2020,24112
18/05/2020,24200
19/05/2020,24251
20/05/2020,24315
21/05/2020,24391
22/05/2020,24506
23/05/2020,24582
24/05/2020,24639
25/05/2020,24698
26/05/2020,24735
27/05/2020,24803
28/05/2020,24841
29/05/2020,24876
30/05/2020,24929
31/05/2020,24990
01/06/2020,25062
02/06/2020,25066
03/06/2020,25111
04/06/2020,25142
05/06/2020,25163
06/06/2020,25183
07/06/2020,25201
08/06/2020,25207
09/06/2020,25215
10/06/2020,25231
11/06/2020,25238
12/06/2020,25250
13/06/2020,25295
14/06/2020,25303
15/06/2020,25321
16/06/2020,25334
17/06/2020,25341
18/06/2020,25355
19/06/2020,25368
20/06/2020,25374
21/06/2020,25379
22/06/2020,25383
23/06/2020,25391
24/06/2020,25396
25/06/2020,25405
26/06/2020,25414
27/06/2020,25437
28/06/2020,25438
29/06/2020,25462
30/06/2020,25473
01/07/2020,25477
02/07/2020,25489
03/07/2020,25498
04/07/2020,25509
05/07/2020,25527
06/07/2020,25531
07/07/2020,25538
08/07/2020,25542
09/07/2020,25565
10/07/2020,25589
11/07/2020,25611
12/07/2020,25628
13/07/2020,25638
14/07/2020,25670
15/07/2020,25683
16/07/2020,25698
17/07/2020,25730
18/07/2020,25750
19/07/2020,25760
20/07/2020,25766
21/07/2020,25802
22/07/2020,25819
23/07/2020,25826
24/07/2020,25845
25/07/2020,25869
26/07/2020,25881
27/07/2020,25892
28/07/2020,25929
29/07/2020,25942
30/07/2020,26027
31/07/2020,26065
01/08/2020,26109
02/08/2020,26162
03/08/2020,26208
04/08/2020,26253
05/08/2020,26303
06/08/2020,26372
07/08/2020,26470
08/08/2020,26644
09/08/2020,26712
10/08/2020,26768
11/08/2020,26801
12/08/2020,26838
13/08/2020,26929