Date,TotalDeaths
29/02/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,1
12/03/2020,1
13/03/2020,1
14/03/2020,2
15/03/2020,2
16/03/2020,2
17/03/2020,2
18/03/2020,2
19/03/2020,3
20/03/2020,3
21/03/2020,3
22/03/2020,4
23/03/2020,6
24/03/2020,7
25/03/2020,9
26/03/2020,19
27/03/2020,22
28/03/2020,36
29/03/2020,46
30/03/2020,54
31/03/2020,71
01/04/2020,85
02/04/2020,98
03/04/2020,120
04/04/2020,137
05/04/2020,158
06/04/2020,174
07/04/2020,210
08/04/2020,235
09/04/2020,263
10/04/2020,287
11/04/2020,320
12/04/2020,334
13/04/2020,365
14/04/2020,406
15/04/2020,444
16/04/2020,486
17/04/2020,530
18/04/2020,571
19/04/2020,610
20/04/2020,687
21/04/2020,730
22/04/2020,769
23/04/2020,794
24/04/2020,1014
25/04/2020,1063
26/04/2020,1087
27/04/2020,1102
28/04/2020,1159
29/04/2020,1190
30/04/2020,1232
01/05/2020,1265
02/05/2020,1286
03/05/2020,1303
04/05/2020,1319
05/05/2020,1339
06/05/2020,1375
07/05/2020,1403
08/05/2020,1429
09/05/2020,1446
10/05/2020,1458
11/05/2020,1467
12/05/2020,1488
13/05/2020,1497
14/05/2020,1506
15/05/2020,1518
16/05/2020,1533
17/05/2020,1543
18/05/2020,1547
19/05/2020,1561
20/05/2020,1571
21/05/2020,1583
22/05/2020,1592
23/05/2020,1604
24/05/2020,1608
25/05/2020,1606
26/05/2020,1615
27/05/2020,1631
28/05/2020,1639
29/05/2020,1645
30/05/2020,1651
31/05/2020,1652
01/06/2020,1650
02/06/2020,1658
03/06/2020,1659
04/06/2020,1664
05/06/2020,1670
06/06/2020,1678
07/06/2020,1679
08/06/2020,1683
09/06/2020,1691
10/06/2020,1695
11/06/2020,1703
12/06/2020,1705
13/06/2020,1705
14/06/2020,1706
15/06/2020,1706
16/06/2020,1709
17/06/2020,1710
18/06/2020,1714
19/06/2020,1714
20/06/2020,1715
21/06/2020,1715
22/06/2020,1717
23/06/2020,1720
24/06/2020,1726
25/06/2020,1727
26/06/2020,1730
27/06/2020,1734
28/06/2020,1735
29/06/2020,1735
30/06/2020,1736
01/07/2020,1738
02/07/2020,1738
03/07/2020,1740
04/07/2020,1741
05/07/2020,1741
06/07/2020,1741
07/07/2020,1742
08/07/2020,1738
09/07/2020,1743
10/07/2020,1744
11/07/2020,1746
12/07/2020,1746
13/07/2020,1746
14/07/2020,1746
15/07/2020,1748
16/07/2020,1749
17/07/2020,1752
18/07/2020,1753
19/07/2020,1753
20/07/2020,1753
21/07/2020,1753
22/07/2020,1754
23/07/2020,1763
24/07/2020,1763
25/07/2020,1764
26/07/2020,1764
27/07/2020,1764
28/07/2020,1764
29/07/2020,1764
30/07/2020,1763
31/07/2020,1763
01/08/2020,1763
02/08/2020,1763
03/08/2020,1763
04/08/2020,1763
05/08/2020,1763
06/08/2020,1768
07/08/2020,1772
08/08/2020,1772
09/08/2020,1772
10/08/2020,1772
11/08/2020,1773
12/08/2020,1774
13/08/2020,1774